DATE,MKTGDPUSA646NWDB
1960-01-01,543300000000
1961-01-01,563300000000
1962-01-01,605100000000
1963-01-01,638600000000
1964-01-01,685800000000
1965-01-01,743700000000
1966-01-01,815000000000
1967-01-01,861700000000
1968-01-01,942500000000
1969-01-01,1019900000000
1970-01-01,1073303000000.0
1971-01-01,1164850000000.0
1972-01-01,1279110000000.0
1973-01-01,1425376000000.0
1974-01-01,1545243000000.0
1975-01-01,1684904000000.0
1976-01-01,1873412000000.0
1977-01-01,2081826000000.0
1978-01-01,2351599000000.0
1979-01-01,2627334000000.0
1980-01-01,2857307000000.0
1981-01-01,3207042000000.0
1982-01-01,3343789000000.0
1983-01-01,3634038000000.0
1984-01-01,4037613000000.0
1985-01-01,4338979000000.0
1986-01-01,4579631000000.0
1987-01-01,4855215000000.0
1988-01-01,5236438000000.0
1989-01-01,5641580000000.0
1990-01-01,5963144000000.0
1991-01-01,6158129000000.0
1992-01-01,6520327000000.0
1993-01-01,6858559000000.0
1994-01-01,7287236000000.0
1995-01-01,7639749000000.0
1996-01-01,8073122000000.0
1997-01-01,8577554457000.0
1998-01-01,9062818202000.0
1999-01-01,9630664202000.0
2000-01-01,10252345464000.0
2001-01-01,10581821399000.0
2002-01-01,10936419054000.0
2003-01-01,11458243878000.0
2004-01-01,12213729147000.0
2005-01-01,13036640230000.0
2006-01-01,13814611414000.0
2007-01-01,14451858656000.0
2008-01-01,14712844084000.0
2009-01-01,14448933025000.0
2010-01-01,14992052727000.0
2011-01-01,15542581104000.0
2012-01-01,16197007349000.0
2013-01-01,16784849196000.0
2014-01-01,17527163695000.0
2015-01-01,18224704440000.0
2016-01-01,18714960538000.0
2017-01-01,19519353692000.0
2018-01-01,20580159776000.0
2019-01-01,21433226000000.0
